"";"zupanija_id";"rbr";"naziv_jls";"ukupni_prihodi_i_primici";"visak_prihoda_i_primitaka_preneseni";"manjak_prihoda_i_primitaka_preneseni";"ukupni_proracun_za_godinu";"porez_na_dobitke_od_igara_na_srecu";"pomoci_iz_inozemstva_i_od_subjekata_unutar_opce_drzave";"prihodi_od_imovine";"prihodi_od_administrativnih_pristojbi_i_po_posebnim_propisima";"ostali_prihodi";"primici_od_financijske_imovine_i_zaduzivanja";"decentralizacija";"zajednicki_kapit_proj_otoci";"ukupni_proracun_umanjen_za_decentralizaciju_vlastite_i_namjenske_prihode_te_primitke_od_zaduzivanja";"godina";"vrsta_jedinice";"zupanija";"oznaka_grop";"maticni_broj"
"69";3;4;"NOVSKA";42033402;3452975;0;45486377;0;14736996;4168314;7490275;0;0;0;0;19090792;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"GRAD";"02933"
"70";3;5;"PETRINJA";81628099;0;17419055;64209044;0;26682040;609671;11060758;0;9822174;3461341;0;12573060;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"GRAD";"03280"
"71";3;6;"POPOVAÈA";29441051;0;1452282;27988769;0;1621684;10891552;5256088;84340;0;0;0;10135105;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"GRAD";"03476"
"72";3;7;"SISAK";202974181;0;6978383;195995798;0;7082596;8016107;65188900;730900;31201366;14058000,4;0;69717928,6;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"GRAD";"03913"
"73";3;8;"DONJI KUKURUZARI";3928289;0;112410;3815879;0;3207323;31743;335297;10687;0;0;0;230829;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"00833"
"74";3;9;"DVOR";7322231;0;136272;7185959;0;4024350;173267;1901480;0;0;0;0;1086862;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"01023"
"75";3;10;"GVOZD";4973484;160972;0;5134456;0;2611216;221202;786746;0;0;0;0;1515292;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"05100"
"76";3;11;"HRVATSKA DUBICA";3786774;9409;0;3796183;0;2082539;109937;698568;0;0;0;0;905139;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"01490"
"77";3;12;"JASENOVAC";6413642;0;396016;6017626;0;2929114;403849;1412730;0;0;0;0;1271933;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"01686"
"78";3;13;"LEKENIK";32919687;356778;0;33276465;0;16643324;451251;2552928;15270;4973825;0;0;8639867;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"02283"
"79";3;14;"LIPOVLJANI";10375000;0;398779;9976221;0;3563181;2687756;1368822;170309;0;0;0;2186153;2016;"grop";"SISAÈKO-MOSLAVAÈKA";"OPÆINA";"02321"
